doc_id	cause_num	adjudication_date	receipt_date	date_publ	judge	doc_url	court_code	court_name	judgment_code	justice_kind	category_code	status	char_count	selection_reason
138754091	522/10526/22	2026-08-05 00:00:00+03	2026-08-05 00:00:00+03	2026-08-06 00:00:00+03	Черняк Юлія Валеріївна	https://od.reyestr.court.gov.ua/files/69/3d0b5a3e6a7ed83bf1085a25f6fc93f0.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1	35410	single_record_large_text
138753934	916/1002/24	2026-08-05 00:00:00+03	2026-08-05 00:00:00+03	2026-08-06 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/69/9735890fb2a607848cafa0d20c038e4b.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1	56680	single_record_large_text
138753916	910/2459/25	2026-08-04 00:00:00+03	2026-08-05 00:00:00+03	2026-08-06 00:00:00+03	Бенедисюк I.М.	https://od.reyestr.court.gov.ua/files/69/1d0f2047ddf39c193629e8a44f0e34a5.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1	64784	latest_publication_and_longer_text
138716294	2-177/2007	2026-07-31 00:00:00+03	2026-08-04 00:00:00+03	2026-08-05 00:00:00+03	Крат Василь Іванович	https://od.reyestr.court.gov.ua/files/69/27144c87b4bcba3937cd554a7c184939.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40329	1	52140	single_record_large_text
138716229	910/14273/24	2026-07-30 00:00:00+03	2026-08-04 00:00:00+03	2026-08-05 00:00:00+03	Булгакова І.В.	https://od.reyestr.court.gov.ua/files/69/1221e06f533fc84a413a2d487edb0a60.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40233	1	33486	latest_publication_and_longer_text
138681167	2-283/09	2026-08-03 00:00:00+03	2026-08-03 00:00:00+03	2026-08-04 00:00:00+03	Лідовець Руслан Анатолійович	https://od.reyestr.court.gov.ua/files/69/6819429f4b0ce704d5928cc91ac6319d.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40337	1	32387	single_record_large_text
138681150	161/5363/25	2026-07-29 00:00:00+03	2026-08-03 00:00:00+03	2026-08-04 00:00:00+03	Сакара Наталія Юріївна	https://od.reyestr.court.gov.ua/files/69/b488bc9837cf4e35b027e53d22a12549.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1	25028	single_record_large_text
138681068	613/1710/23	2026-07-22 00:00:00+03	2026-08-03 00:00:00+03	2026-08-04 00:00:00+03	Лідовець Руслан Анатолійович	https://od.reyestr.court.gov.ua/files/69/19edb4dda405567f3111c7aa340e04bc.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1	31621	single_record_large_text
138681067	761/43511/24	2026-07-22 00:00:00+03	2026-08-03 00:00:00+03	2026-08-04 00:00:00+03	Лідовець Руслан Анатолійович	https://od.reyestr.court.gov.ua/files/69/6b391fb85d47458118fbdbce0349f1fd.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1	34929	single_record_large_text
138680347	916/3725/25	2026-07-30 00:00:00+03	2026-08-03 00:00:00+03	2026-08-04 00:00:00+03	Власов Ю.Л.	https://od.reyestr.court.gov.ua/files/69/0d698dde7b10541d3641bde311f87b96.rtf	9911	Касаційний господарський суд Верховного Суду	2	3	40253	1	47343	latest_publication_and_longer_text
138668790	761/11448/23	2026-07-31 00:00:00+03	2026-08-03 00:00:00+03	2026-08-03 00:00:00+03	Петров Євген Вікторович	https://od.reyestr.court.gov.ua/files/69/746a06a3659ed07b8716d23a935e38f3.rtf	9931	Касаційний цивільний суд Верховного Суду	2	1	40383	1	38123	single_record_large_text
