doc_id	cause_num	adjudication_date	receipt_date	date_publ	judge	doc_url	court_code	judgment_code
134833412	990/18/26	2026-03-12 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Губська Олена Анатоліївна	http://od.reyestr.court.gov.ua/files/67/5cad87d12ddd2f5f63d3bb9eb50a5c7b.rtf	9951	2
134833411	757/38039/17-ц	2026-03-11 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Ткачук Олег Степанович	http://od.reyestr.court.gov.ua/files/67/e6569de700925cfbc19483b2c42b5076.rtf	9951	2
134833389	990/242/23	2026-02-19 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/d4878b4da7878bbbcc1544ad82c1cc95.rtf	9951	2
134833396	911/969/24	2026-02-18 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Банасько Олександр Олександрович	http://od.reyestr.court.gov.ua/files/67/60fe16c29872a958eed58ee3b8452f6b.rtf	9951	2
134833397	990/31/25	2026-02-12 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/0843a200fd6960619ec8967758de2e02.rtf	9951	2
134833403	359/8573/20	2026-03-04 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Ткач Ігор Васильович	http://od.reyestr.court.gov.ua/files/67/b97d9e750e1a6c761d0a3caea392cf6b.rtf	9951	2
134833422	946/3565/24	2026-03-11 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Ткачук Олег Степанович	http://od.reyestr.court.gov.ua/files/67/7183f20d52dcea78ba7f1bf5bb1f50be.rtf	9951	2
134833413	990/261/25	2026-03-12 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/d7edad7da1ee86f41d98db6e10e2d646.rtf	9951	2
134833421	990/396/24	2026-03-12 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/de2cf68e3ed08127411ac754e6a2fb28.rtf	9951	2
134833390	990SСGС/45/25	2026-02-12 00:00:00+02	2026-03-17 00:00:00+02	2026-03-17 00:00:00+02	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/65630e801b04d9e295f13a9714821928.rtf	9951	2
134881272	800/162/14	2026-02-19 00:00:00+02	2026-03-18 00:00:00+02	2026-03-18 00:00:00+02	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/8ffcb26e7b678438ebeb6f817cd09643.rtf	9951	2
